area,scenario,tema,misura,motivazione
NTS,Slow Pace,Trasporto marittimo,"un incremento del traffico da oggi al 2040 così
definito, in termini di densità di traffico, ovvero di rotte che attraversano ciascuna cella nell’unità di tempo, per diverse tipologie di imbarcazioni: +30% per navi cargo e
portarinfuse (CAR); +53% per navi portacontainer (CON); +26% per navi passeggeri e da crociera (PAS); +38% per navi petroliere e gasiere (TGC); +33% per navi roll-onroll-
off cargo e passeggeri (RRO).","Questi valori sono derivati dal recente studio condotto da EMSA per valutare l’evoluzione attesa del rumore sottomarino nei mari europei, con e senza misure di mitigazione (EMSA, 2024), e sono in linea con altre
indicazioni derivabili dalla letteratura di settore : proiezioni del trasporto marittimo
globale al 2050 (EMSA-EEA, 2021); aumento annuo atteso delle movimentazioni di
container del 3.1% nel Mediterraneo occidentale (Piano del Mare (2023)) e del 2.7%
relativamente al periodo 2021-2026 (Report SRM 2022)."
NTS,Slow Pace,Trasporto marittimo,"Sono attese riduzioni delle emissioni di gas serra (GHG) e di composti di zolfo, in linea con gli obiettivi e le prescrizioni di EU Green Deal (riduzione del 90% delle emissioni di GHG al 2050) e IMO-MED-SECA, attraverso la progressiva adozione di misure di mitigazione (ad esempio, elettrificazione delle banchine, nuovi carburanti).",
NTS,Slow Pace,Trasporto marittimo,"Il settore aumenterà progressivamente la sua sostenibilità a terra e in mare, in varie
forme: ad esempio, con l’adozione di carburanti in compliance con la 0,1% Sulphur
Target del SEPA Agreement (IMO MED-SECA) o con l’elettrificazione delle banchine
utilizzando fonti rinnovabili. Le raccomandazioni relative alla PSSA NW-MED (IMO MEPC 80/WP.10) rimarranno come ora, pur traguardando un rafforzamento
progressivo delle misure in atto (e.g. limitazione della velocità volontaria tra 10 e 13
nodi).",
NTS,Slow Pace,Protezione Ambientale,"Vengono istituite alcune nuove aree Natura 2000: due nuovi siti (già proposti) su tre
seamounts (Complesso dei monti sottomarini Ulisse Doria Janua e del Banco di Santa Lucia) (Wurtz e Rovere, 2015).",
NTS,Slow Pace,Protezione Ambientale,"Non viene istituita nessuna nuova AMP o area con “protezione rigorosa” (i.e. strictly
protected).",
NTS,Slow Pace,Pesca,"il limite di pesca a strascico viene esteso da 1000 metri a 800 metri di profondità, in
quanto queste aree possono ospitare ecosistemi marini vulnerabili (VME),
sostenendo al contempo attività di pesca relativamente limitate da parte di alcuni
pescherecci che si dedicano a stock specifici, ad esempio gamberi rossi di acque
profonde (GFCM REC 29/2005/1).",A seguito del completamento delle valutazioni sulle aree pilota identificate da GFCM.
NTS,Slow Pace,Pesca,si vieta la pesca a strascico con attrezzi attivi nelle aree SIC/ZSC designate ai sensi della direttiva Habitat per la protezione di habitat e le specie marine bentoniche.,"Come da Action Plan (COM(2023)102 final),"
NTS,Slow Pace,Difesa Costiera,"Gli interventi di difesa costiera e contrasto all’erosione nei tratti di costa con trend
erosivi maggiori (2006-2020, ISPRA) vengono realizzati localmente, con una limitata programmazione di lungo periodo. Si utilizzanno tecniche di difesa tradizionali basate su interventi rigidi e ripascimenti, utilizzando le cave di sabbie a mare già censite.",
NTS,Slow Pace,Turismo Costiero e Marittimo,"Le opportunità per una transizione sostenibile del turismo costiero e marittimo non
vengono pienamente sfruttate e i modelli turistici implementati rimangono
prevalentemente quelli di tipo tradizionale, pur lavorando anche su importanti aspetti
di sostenibilità come il risparmio energetico e delle risorse in genere, la gestione dei
rifiuti, la gestione e destagionalizzazione dei flussi.",
NTS,Slow Pace,Turismo Costiero e Marittimo,"Viene promossa la diversificazione dell’offerta su settori di turismo
esperienziale quali il diving, canoa e il whale watching.",
